Level,Brand,Main,Category,Parent,Market,Why?,Proof,Alternatives
DO_NOT_BUY,Abuelita Hot Chocolate,Food,Hot Chocolate-Packaged,Nestle,,Nestle owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.,https://en.wikipedia.org/wiki/Osem_(company),
DO_NOT_BUY,AC+ION Water,Food-Beverage,Water-Infused | Beverage-Sport,Blue Triton,,"Blue Triton is owned by One Rock Capital, with is owned by Mitsubishi Corp. Mitsubishi has made investments in Israel and has opened an office in Tel Aviv to partner with Israeli companies.",https://www.jpost.com/business-and-innovation/article-712729,
DO_NOT_BUY,Acana,Pet Products,Dog Food | Cat Food,Mars,,Mars committed investing $1 Billion dollars in partnership with Jerusalem Venture Partners (JVP) to foster food tech solutions in Israel,https://aus.mars.com/news-and-stories/press-releases/mars-partners-with-jerusalem-venture-partners,
DO_NOT_BUY,Accenture,Financial,Financial-Professional,Accenture,,Donated to Magen David Adom - Israel's National Emergency Pre-Hospital Medical and Blood Services Organization,,
DO_NOT_BUY,Accuweather,Entertainment,News,Accuweather,,Founder wrote letter in solidarity with Israel.,,
DO_NOT_BUY,Acqua di Parma,Personal Care-Beauty,Perfume,LVMH,,This brand is owned by LVMH. LVMH owner Bernard Arnault invests hundreds of millions in Israeli companies.,https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/,
DO_NOT_BUY,Acqua Panna,Food-Beverage,Water,Nestle,Italy,Nestle owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.,https://en.wikipedia.org/wiki/Osem_(company),
DO_NOT_BUY,Acti-V,Food,Yogurt,Nestle,Philippines,Nestle owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.,https://en.wikipedia.org/wiki/Osem_(company),
DO_NOT_BUY,Actimel,Food,Yogurt,Danone S.A.,,"Actimel is owned by Danone, a French multinational food-products corporation that holds 20% shares of IsraelÕs Strauss Group food company.",https://www.strauss-group.com/partner/partnership_danone/,
DO_NOT_BUY,ActiPlus,Food,Yogurt,Nestle,Pakistan,Nestle owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.,https://en.wikipedia.org/wiki/Osem_(company),
DO_NOT_BUY,Activia,Food,Yogurt,Danone S.A.,North America,"Activia is owned by Danone, a French multinational food-products corporation that holds 20% shares of IsraelÕs Strauss Group food company.",https://www.strauss-group.com/partner/partnership_danone/,
DO_NOT_BUY,Acuvue,Personal Care-Health,Eyecare,J&J (Kenvue),,"Johnson & JohnsonÊowns companies in Israel, engaging in various sectors including healthcare, pharmaceuticals, and medical devices, furthering its global presence in these critical industries.",https://www.jnjcareers.co.il/en,
DO_NOT_BUY,Ades Juice,Food-Beverage,Juice,Coca-Cola,Latin America,"Coca-Cola operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.",https://www.foa.org.uk/campaign/boycottcocacola,
DO_NOT_BUY,Ades Water,Food-Beverage,Water,Coca-Cola,Indonesia,"Coca-Cola operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.",https://www.foa.org.uk/campaign/boycottcocacola,
DO_NOT_BUY,Adez,Food,Milk Alternatives,Coca-Cola,Latin America,"Coca-Cola operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.",https://www.foa.org.uk/campaign/boycottcocacola,
DO_NOT_BUY,Adidas,Fashion,Athletic Shoes and Apparel,Adidas,,"Uses Delta Galil fabric, an Israeli textile company with manufacturing and operations in illegal West Bank settlements. Its Annual Revenue was $23.47 billion in 2023, higher than the GDP of 94 countries.",https://adidasunderwear.com/pages/adidas-underwear-partnership,
DO_NOT_BUY,Adios Nail Polish Remover,Personal Care-Beauty,Cosmetics-Nails,American International Industries,,"American International is owned by Zvi Ryzman, an Israeli American dual citizen who grew up in Tel Aviv and served in the IOF.",https://wwd.com/feature/ardell-breaks-into-color-cosmetics-10894029/,
DO_NOT_BUY,Advance Pet Food,Pet Products,Dog Food | Cat Food,Mars,,Mars committed investing $1 Billion dollars in partnership with Jerusalem Venture Partners (JVP) to foster food tech solutions in Israel,https://aus.mars.com/news-and-stories/press-releases/mars-partners-with-jerusalem-venture-partners,
DO_NOT_BUY,Advil,Personal Care-Health,Pain and Fever,Haleon,,"Haleon stock is closely held by Glaxo Smith Kline and Pfizer, who both have production facilities and large investment in Israel.",https://www.mayniaga.com/unveiling-sensodynes-controversial-links-to-israel,
DO_NOT_BUY,Aerin,Personal Care-Beauty,Perfume,Estee Lauder,,"Aerin is owned by Estee Lauder, who's ownership, especially Ronald Lauder, has extremist zionist views and financially and politically supports Israeli occupation of Palestinian land.",https://www.jnf.org/menu-3/speakers-bureau/bio-page?id=830973c9-caae-67a8-a4cf-ff000038378d,
DO_NOT_BUY,Aero Chocolate,Food-Sweets,Chocolate,Nestle,,Nestle owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.,https://en.wikipedia.org/wiki/Osem_(company),
DO_NOT_BUY,Aeropostale,Fashion,Mens Clothing and Accessories | Womens Clothing and Accessories,Authentic Brands Group,,"Aeropostale is owned by Authority Brands, which supports the occupation by offering company matching of employee giving to charities in Israel, with no mention of Palestine.",https://www.linkedin.com/posts/weareauthentic_activity-7118355618335191041-ycPy?utm_source=share&utm_medium=member_desktop,
DO_NOT_BUY,Aesop,Personal Care-Beauty,Skincare,L'Oreal,,L'Oreal has heavy investment in and operates a factory in Occupied Palestine.,https://bdsmovement.net/news/l%E2%80%99oreal-makeup-israeli-apartheid,
DO_NOT_BUY,Afikim Electric Vehicles,Auto,Mobility,Kibbutz Afikim,,"The company is fully owned by KIBBUTZ AFIKIM, one of the largest kibbutzim in Israel and is located in the Jordan Valley in the north of the country.",https://www.afiscooters.com/about-us/,
DO_NOT_BUY,Afound,Fashion,Mens Clothing and Accessories | Womens Clothing and Accessories,H&M Group,Europe,H&M continues to open stores in Israel without using its international platform to push for Palestinian justice.,https://bdsmovement.net/news/hm-whitewashing-Israeli-colonization-jerusalem-bds-national-committee-calls-boycotting-hm,
DO_NOT_BUY,Afrin,Personal Care-Health,Nasal,Bayer,,"Bayer has a partnership with the Israeli Innovation Authority, the support arm of the Israeli government, charged with fostering the development of industrial research and development in the State of Israel.",https://www.bayer.com/en/il/climate-tech-program,
DO_NOT_BUY,After 8,Food-Sweets,Chocolate-Mint,Nestle,,Nestle owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.,https://en.wikipedia.org/wiki/Osem_(company),
DO_NOT_BUY,Agoda,Travel,Online Booking,Booking Holdings,,"Agoda is owned by Booking Holdings, which allows listings in occupied Palestinian territory. After initially deciding to add a label to properties which are in occupied territory, they reversed that move under pressure from Israel.",https://www.aljazeera.com/news/2022/10/5/is-booking-com-reversal-palestine-corporate-hypocrisy,
DO_NOT_BUY,Aha Sparkling Water,Food-Beverage,Water-Sparkling-Infused,Coca-Cola,,"Coca-Cola operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.",https://www.foa.org.uk/campaign/boycottcocacola,
DO_NOT_BUY,Ahava,Personal Care-Beauty,Skincare-Affordable,Ahava,,Ahava products are crafted using ÒDead Sea mineralsÓ sourced from contested natural reserves in the West Bank and are manufactured in the unlawful settlement of Mitzpe Shalem.,https://electronicintifada.net/content/boycott-ahava-dead-sea-products-makes-impact/8563,
DO_NOT_BUY,Aino,Food,Ice Cream,Nestle,Finland,Nestle owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.,https://en.wikipedia.org/wiki/Osem_(company),
DO_NOT_BUY,Aio skin,Personal Care-Beauty,Skincare-Affordable,Procter and Gamble,China,"P&G is one of the largest clients of Israeli company Avgol, which makes textiles for hygienic products. Avgol Nonwoven operates a plant in the Barkan industrial complex, an illegal Israeli manufacturing settlement on the West Bank adjacent to the settlements of Barkan and Ariel.",https://www.arabamerica.com/10-brands-youll-give-youre-boycotting-israel/,
DO_NOT_BUY,Air Wick,Household-Cleaning,Air Spray,Reckitt Benckiser,,Reckitt BenckiserÊsigned a cooperation agreement with the Israel Innovation Authority seeking investments in Israeli startups.,https://en.globes.co.il/en/article-reckitt-benckiser-seeks-investments-in-israeli-cos-1001262747,
DO_NOT_BUY,AirBnB,Travel,Online Booking,AirBnB,,"Airbnb allows listings in occupied Palestinian territory, and after announcing it will remove 200 of such listings, it reversed its decision, showing it is knowingly complicit in Israeli occupation.",https://www.amnesty.org/en/latest/press-release/2020/12/airbnb-listing-company-is-deeply-compromised-by-israeli-settlement-properties/,
DO_NOT_BUY,Airborne,Personal Care-Health,Vitamins and Supplements,Reckitt Benckiser,,Reckitt BenckiserÊsigned a cooperation agreement with the Israel Innovation Authority seeking investments in Israeli startups.,https://en.globes.co.il/en/article-reckitt-benckiser-seeks-investments-in-israeli-cos-1001262747,
DO_NOT_BUY,Airwalk,Fashion,Athletic Shoes and Apparel,Authentic Brands Group,,"Airwalk is owned by Authority Brands, which supports the occupation by offering company matching of employee giving to charities in Israel, with no mention of Palestine.",https://www.linkedin.com/posts/weareauthentic_activity-7118355618335191041-ycPy?utm_source=share&utm_medium=member_desktop,
DO_NOT_BUY,Airwaves Gum,Food-Sweets,Chewing Gum,Mars,UK,Mars committed investing $1 Billion dollars in partnership with Jerusalem Venture Partners (JVP) to foster food tech solutions in Israel,https://aus.mars.com/news-and-stories/press-releases/mars-partners-with-jerusalem-venture-partners,
DO_NOT_BUY,Ajax Cleaner,Household-Cleaning,Cleaner,Colgate Palmolive,,"Colgate Palmolive maintains a Hebrew language site for Israel, selling its products through large local distributor Schestowitz Ltd. Colgate profits from the Israeli economy while silent on the injustice of the Occupation. Its Annual Revenue was $19.14 billion in 2023, higher than the GDP of 86 countries.",https://www.palmolive.co.il,
DO_NOT_BUY,Ajinomoto,Companies,Multinational-Food,Ajinomoto Inc,,"Ajinomoto announced a partnership with Tel Aviv, Israel-based SuperMeat, a developer of poultry meat produced from animal cells.",https://www.meatpoultry.com/articles/26314-ajinomoto-enters-joint-venture-with-cell-based-meat-company,
DO_NOT_BUY,Akamai,Technology,Cloud Computing,Akamai,,Has operations in Israel and issued a statement supporting Israel without mentioning Palestinians.,https://twitter.com/Akamai/status/1711859791759376705,
DO_NOT_BUY,Ala Detergent,Household-Cleaning,Laundry Detergent,Unilever,Latin America,"Unilever operates in Israel through its local subsidiary Unilever Israel Foods Ltd. It has forced its other subsidiary Ben & JerryÕs into maintaining business with Israel, including selling to its illegal settlements. Unilever profits from the Israeli economy while remaining silent on the injustice of the Occupation.",https://bdsmovement.net/news/unilever-stop-undermining-ben-jerrys-decision-end-israel-settlement-business,
DO_NOT_BUY,Alacam,Food-Beverage,Water,Nestle,Turkey,Nestle owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.,https://en.wikipedia.org/wiki/Osem_(company),
DO_NOT_BUY,Alaska Airlines,Travel,Airlines,Alaska Airlines,,Alaska Airlines has had deep ties to Israel since 1948.,https://www.forbes.com/sites/tedreed/2013/08/24/alaska-airlines-airlift-to-israel-recalled-at-alaska-jewish-museum/?sh=4eec201c5a0e,
DO_NOT_BUY,Aleve,Personal Care-Health,Pain and Fever,Bayer,,"Bayer has a partnership with the Israeli Innovation Authority, the support arm of the Israeli government, charged with fostering the development of industrial research and development in the State of Israel.",https://www.bayer.com/en/il/climate-tech-program,
DO_NOT_BUY,Alexander McQueen,Fashion,Mens Clothing and Accessories-High End | Womens Clothing and Accessories-High End,Kering,,"Kering is owned by Artemis Group, which also owns Puma. Puma is the main sponsor of the Israel Football Association, which includes teams in Israel's illegal settlements. They are not renewing in 2024 but we urge you to keep up the pressure till they publicly oppose the Occupation.",https://bdsmovement.net/boycott-puma,
DO_NOT_BUY,Alfare,Baby,Baby Formula,Nestle,,Nestle owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.,https://en.wikipedia.org/wiki/Osem_(company),
DO_NOT_BUY,Alhambra Water,Food-Beverage,Water-Bulk,Primo Water Corp,,"Primo Water owns Eden Springs, a British-Israeli water company which steals water resources from the farmers and towns in the Golan Heights, restricting access to it for non Israelis.",https://bdsmovement.net/news/bds-victory-against-eden-springs,
DO_NOT_BUY,Align Probiotic,Personal Care-Health,Probiotic,Procter and Gamble,,"P&G is one of the largest clients of Israeli company Avgol, which makes textiles for hygienic products. Avgol Nonwoven operates a plant in the Barkan industrial complex, an illegal Israeli manufacturing settlement on the West Bank adjacent to the settlements of Barkan and Ariel.",https://www.arabamerica.com/10-brands-youll-give-youre-boycotting-israel/,
DO_NOT_BUY,Alka-Seltzer,Personal Care-Health,Heartburn,Bayer,,"Bayer has a partnership with the Israeli Innovation Authority, the support arm of the Israeli government, charged with fostering the development of industrial research and development in the State of Israel.",https://www.bayer.com/en/il/climate-tech-program,
DO_NOT_BUY,All Bran Cereal,Food,Cereal,Kellanova,,"Kellanova sells its products in Israel through large local distributor Schestowitz Ltd, profiting from the Israeli economy while silent on the injustice of the Occupation. Its Annual Revenue was $19.14 billion in 2023, higher than the GDP of 86 countries.",https://en.globes.co.il/en/article-754126,
DO_NOT_BUY,All Detergent,Household-Cleaning,Laundry Detergent,Unilever,,"Unilever operates in Israel through its local subsidiary Unilever Israel Foods Ltd. It has forced its other subsidiary Ben & JerryÕs into maintaining business with Israel, including selling to its illegal settlements. Unilever profits from the Israeli economy while remaining silent on the injustice of the Occupation.",https://bdsmovement.net/news/unilever-stop-undermining-ben-jerrys-decision-end-israel-settlement-business,
DO_NOT_BUY,Allens Candy,Food-Sweets,Candy,Nestle,,Nestle owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.,https://en.wikipedia.org/wiki/Osem_(company),
DO_NOT_BUY,Almay,Personal Care-Beauty,Skincare-Affordable,Revlon,,,,
DO_NOT_BUY,Alo Detergent,Household-Cleaning,Laundry Detergent,Procter and Gamble,Turkey,"P&G is one of the largest clients of Israeli company Avgol, which makes textiles for hygienic products. Avgol Nonwoven operates a plant in the Barkan industrial complex, an illegal Israeli manufacturing settlement on the West Bank adjacent to the settlements of Barkan and Ariel.",https://www.arabamerica.com/10-brands-youll-give-youre-boycotting-israel/,
DO_NOT_BUY,Alpen Gold,Food-Sweets,Chocolate,Mondelez International,Eastern Europe,Mondelez invests in Israeli startups in Occupied Palestine.,https://ir.mondelezinternational.com/news-releases/news-release-details/mondelez-international-snackfutures-makes-seed-investment,
DO_NOT_BUY,Alpia,Food-Sweets,Chocolate,Nestle,Germany,Nestle owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.,https://en.wikipedia.org/wiki/Osem_(company),
DO_NOT_BUY,Alpino,Food-Sweets,Chocolate-Premium,Nestle,Brazil,Nestle owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.,https://en.wikipedia.org/wiki/Osem_(company),
DO_NOT_BUY,Alpo,Pet Products,Dog Food,Nestle,,Nestle owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.,https://en.wikipedia.org/wiki/Osem_(company),
DO_NOT_BUY,Alpro,Food,Yogurt,Danone S.A.,,"Alpro is owned by Danone, a French multinational food-products corporation that holds 20% shares of IsraelÕs Strauss Group food company.",https://www.strauss-group.com/partner/partnership_danone/,
DO_NOT_BUY,Alterna,Personal Care-Hair,Hair Care,Henkel,,HenkelÊinvests in Israeli technology namely by investing in Feelit. A company with its roots in Isra‘l.,https://www.henkel.com/press-and-media/press-releases-and-kits/2021-01-07-henkel-invests-in-technology-startup-feelit-1141594,
DO_NOT_BUY,Altoids,Food-Sweets,Mints,Mars,,Mars committed investing $1 Billion dollars in partnership with Jerusalem Venture Partners (JVP) to foster food tech solutions in Israel,https://aus.mars.com/news-and-stories/press-releases/mars-partners-with-jerusalem-venture-partners,
DO_NOT_BUY,Alvalle,Food,Soups,PepsiCo,,"The owner of Alvalle, PepsiCo, bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.",https://www.bloomberg.com/view/articles/2018-08-22/pepsico-s-sodastream-purchase-is-sweet-news-for-israelis?leadSource=uverify%20wall#xj4y7vzkg,
DO_NOT_BUY,Always,Personal Care-Hygiene,Feminine Products,Procter and Gamble,,"P&G is one of the largest clients of Israeli company Avgol, which makes textiles for hygienic products. Avgol Nonwoven operates a plant in the Barkan industrial complex, an illegal Israeli manufacturing settlement on the West Bank adjacent to the settlements of Barkan and Ariel.",https://www.arabamerica.com/10-brands-youll-give-youre-boycotting-israel/,
DO_NOT_BUY,Amazon,Technology,Technology,Amazon,,"Amazon and Google are working together on Project Nimbus, a $1.2bn contract to provide cloud services for the Israeli military and government, allowing for further surveillance of and unlawful data collection on Palestinians, and facilitates expansion of IsraelÕs illegal settlements on Palestinian land.",https://www.theguardian.com/commentisfree/2021/oct/12/google-amazon-workers-condemn-project-nimbus-israeli-military-contract,
DO_NOT_BUY,Ambasa Milk Soda,Food-Beverage,Soda,Coca-Cola,Japan,"Coca-Cola operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.",https://www.foa.org.uk/campaign/boycottcocacola,
DO_NOT_BUY,Ambipur,Household-Cleaning,Air Spray,Procter and Gamble,,"P&G is one of the largest clients of Israeli company Avgol, which makes textiles for hygienic products. Avgol Nonwoven operates a plant in the Barkan industrial complex, an illegal Israeli manufacturing settlement on the West Bank adjacent to the settlements of Barkan and Ariel.",https://www.arabamerica.com/10-brands-youll-give-youre-boycotting-israel/,
DO_NOT_BUY,American Eagle,Fashion,Mens Clothing and Accessories | Womens Clothing and Accessories,American Eagle,,American Eagle posted an image of the Israeli Flag on their flagship billboard in Times Square showing their support for the apartheid state.,https://www.linkedin.com/posts/craig-brommers-616b1b1_our-updated-american-eagle-times-square-flagship-activity-7116923792202833920-jt6L?utm_source=share&utm_medium=member_desktop,
DO_NOT_BUY,American Heritage Chocolate,Food-Sweets,Chocolate-Premium,Mars,,Mars committed investing $1 Billion dollars in partnership with Jerusalem Venture Partners (JVP) to foster food tech solutions in Israel,https://aus.mars.com/news-and-stories/press-releases/mars-partners-with-jerusalem-venture-partners,
DO_NOT_BUY,Ameyal,Food-Beverage,Soda,Coca-Cola,Mexico,"Coca-Cola operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.",https://www.foa.org.uk/campaign/boycottcocacola,
DO_NOT_BUY,Amicelli,Food-Snacks,Cookies,Mars,Germany,Mars committed investing $1 Billion dollars in partnership with Jerusalem Venture Partners (JVP) to foster food tech solutions in Israel,https://aus.mars.com/news-and-stories/press-releases/mars-partners-with-jerusalem-venture-partners,
DO_NOT_BUY,Amika,Personal Care-Hair,Hair Care | Shampoo | Beauty Tools | Skincare,Bansk Group,,Amika products are made in Israel.,https://heatmakessense.zendesk.com/hc/en-us/articles/4406612273563-Where-are-amika-products-made-,
DO_NOT_BUY,Amiri,Fashion,Mens Clothing and Accessories-High End | Womens Clothing and Accessories-High End,OTB Group,,"OTB is in partnership with L'Oreal, which has heavy investment in and operates a factory in Occupied Palestine.",https://bdsmovement.net/news/l%E2%80%99oreal-makeup-israeli-apartheid,
DO_NOT_BUY,Amita Juice,Food-Beverage,Juice,Coca-Cola,Greece,"Coca-Cola operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.",https://www.foa.org.uk/campaign/boycottcocacola,
DO_NOT_BUY,Amor Amor Perfume,Personal Care-Beauty,Perfume,Cacharel,,"Cacharel Fragrances is in partnership with L'Oreal, which has heavy investment in and operates a factory in Occupied Palestine.",https://bdsmovement.net/news/l%E2%80%99oreal-makeup-israeli-apartheid,
DO_NOT_BUY,Amor Wafer,Food-Snacks,Cookies,Nestle,Latin America,Nestle owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.,https://en.wikipedia.org/wiki/Osem_(company),
DO_NOT_BUY,Amora,Food,Mayonnaise | Mustard | Ketchup | BBQ Sauces | Salad Dressing |,Unilever,France | Belgium | Morocco,"Unilever operates in Israel through its local subsidiary Unilever Israel Foods Ltd. It has forced its other subsidiary Ben & JerryÕs into maintaining business with Israel, including selling to its illegal settlements. Unilever profits from the Israeli economy while remaining silent on the injustice of the Occupation.",https://bdsmovement.net/news/unilever-stop-undermining-ben-jerrys-decision-end-israel-settlement-business,
DO_NOT_BUY,Amostyle,Fashion,Undergarments-Women,Triumph International,,"Uses Delta Galil fabric, an Israeli textile company with manufacturing and operations in illegal West Bank settlements.",http://www.inminds.com/boycott-delta-galil.html,
DO_NOT_BUY,AMPM Stores,Auto,Fuel/Petrol Stations,BP,,AMPM is owned by BP. Israel awarded gas exploration licences to BP for exploration off the Gaza coast.,https://www.reuters.com/business/energy/israel-awards-gas-exploration-licences-eni-bp-four-others-2023-10-29/,
DO_NOT_BUY,Anais Anais Perfume,Personal Care-Beauty,Perfume,Cacharel,,"Cacharel Fragrances is in partnership with L'Oreal, which has heavy investment in and operates a factory in Occupied Palestine.",https://bdsmovement.net/news/l%E2%80%99oreal-makeup-israeli-apartheid,
DO_NOT_BUY,Andrea Beauty,Personal Care-Beauty,Cosmetics-Affordable | Cosmetics-Eyes | Skincare | Hair Removal,American International Industries,,"American International is owned by Zvi Ryzman, an Israeli American dual citizen who grew up in Tel Aviv and served in the IOF.",https://wwd.com/feature/ardell-breaks-into-color-cosmetics-10894029/,
DO_NOT_BUY,Andrelon,Personal Care-Hair,Shampoo-Affordable,Unilever,Holland,"Unilever operates in Israel through its local subsidiary Unilever Israel Foods Ltd. It has forced its other subsidiary Ben & JerryÕs into maintaining business with Israel, including selling to its illegal settlements. Unilever profits from the Israeli economy while remaining silent on the injustice of the Occupation.",https://bdsmovement.net/news/unilever-stop-undermining-ben-jerrys-decision-end-israel-settlement-business,
DO_NOT_BUY,Andrex,Household,Toilet Tissue,Kimberly-Clark,UK | Asia,"Kimberly-Clark is a significant customer of Avgol (19% of revenue), a company with a factory in the Barkan Industrial Area, adjacent to the illegal Israeli settlement of Barkan in the occupied West Bank.",https://investigate.afsc.org/company/indorama-ventures,
DO_NOT_BUY,Angel Bakeries,Food,Middle Eastern Food,Angel Bakeries,,"Angel Bakeries operates bakeries in various settlements, including the settlement neighborhoods of Gilo and Ramat Shlomo in occupied East Jerusalem.",https://www.whoprofits.org/companies/company/3657/ar,
DO_NOT_BUY,Angel Soft,Household,Toilet Tissue,Koch Industries,,"Georgia Pacific is owned by the Koch brothers, who are heavily invested in Israel.",https://circuit.news/2022/11/06/kochs-israeli-investment-chief-aims-to-disrupt-venture-capital-funding/,
DO_NOT_BUY,Animal Bar,Food-Sweets,Chocolate,Nestle,UK,Nestle owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.,https://en.wikipedia.org/wiki/Osem_(company),
DO_NOT_BUY,Antikal,Household-Cleaning,Cleaner,Procter and Gamble,Europe,"P&G is one of the largest clients of Israeli company Avgol, which makes textiles for hygienic products. Avgol Nonwoven operates a plant in the Barkan industrial complex, an illegal Israeli manufacturing settlement on the West Bank adjacent to the settlements of Barkan and Ariel.",https://www.arabamerica.com/10-brands-youll-give-youre-boycotting-israel/,
DO_NOT_BUY,Ao Yun,Food-Beverage,Alcohol,LVMH,,This brand is owned by LVMH. LVMH owner Bernard Arnault invests hundreds of millions in Israeli companies.,https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/,
DO_NOT_BUY,Apaisyl,Personal Care-Beauty,Skincare-Affordable,Procter and Gamble,Europe,"P&G is one of the largest clients of Israeli company Avgol, which makes textiles for hygienic products. Avgol Nonwoven operates a plant in the Barkan industrial complex, an illegal Israeli manufacturing settlement on the West Bank adjacent to the settlements of Barkan and Ariel.",https://www.arabamerica.com/10-brands-youll-give-youre-boycotting-israel/,
