name;website;image_url;categories;parent name;parent location;parent level;reason;source_url
Yasminelle;;https://static.shop-apotheke.com/brand-logos/yasminelle.png;[];Bayer;global;alternative;"Owned by **Bayer**.

There is a partnership between **Bayer** and the Israeli Innovation Authority. The Israel Innovation Authority (IIA) is the support arm of the Israeli government, charged with fostering the development of industrial research and development in the State of Israel.";https://www.bayer.com/en/il/climate-tech-program
Yedigün;;https://yedigun.com.tr/ResourcePackages/Bootstrap/assets/dist/images/header-logo.png;[];PepsiCo;global;alternative;"Owned by **PepsiCo**.

**PepsiCo** bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.";https://www.bloomberg.com/view/articles/2018-08-22/pepsico-s-sodastream-purchase-is-sweet-news-for-israelis?leadSource=uverify%20wall#xj4y7vzkg
Youth to the people;;;[];Youth to the people;global;alternative;"**Youth to the people** is owned by **L'Oreal.**

**34.70%** of L’Oreal is owned by Mrs. Francoise Bettencourt Meyers and her family. **20.1%** of L’ Oreal is owned by **Nestle**. Nestle began **investing** in **Israel** in 1995 by buying 10% of Israeli food maker **Osem** Investments, increasing its ownership to 50.1% two years later giving it the controlling share and now owns a 53.8 percent stake in Osem Swiss food giant Nestle will set up a global research and development center for snack foods next year in Sderot, a town in Israel's Negev desert, the Maariv.";https://www.loreal-finance.com/eng/share-ownership
Youtube;;;[];Youtube;global;alternative;"**Youtube** is owned by **Google**

Amazon and Google are working together on **Project Nimbus**. 
**Project Nimbus** is a $1.2bn contract to provide cloud services for the **Israeli military and government**. This technology allows for further surveillance of and **unlawful data collection** on Palestinians, and facilitates expansion of Israel’s **illegal settlements** on Palestinian land.";https://www.theguardian.com/commentisfree/2021/oct/12/google-amazon-workers-condemn-project-nimbus-israeli-military-contract
Yuesai;;;[];Yuesai;global;alternative;"**Yuesai** is owned by **L'Oreal.**

**34.70%** of L’Oreal is owned by Mrs. Francoise Bettencourt Meyers and her family. **20.1%** of L’ Oreal is owned by **Nestle**. Nestle began **investing** in **Israel** in 1995 by buying 10% of Israeli food maker **Osem** Investments, increasing its ownership to 50.1% two years later giving it the controlling share and now owns a 53.8 percent stake in Osem Swiss food giant Nestle will set up a global research and development center for snack foods next year in Sderot, a town in Israel's Negev desert, the Maariv.";https://www.loreal-finance.com/eng/share-ownership
Yum! Brands;;https://upload.wikimedia.org/wikipedia/commons/5/59/Yum%21_Brands_logo.svg;[];;global;alternative;**Yum! Brands** is an investor in Israeli start ups.;https://www.calcalistech.com/ctech/articles/0,7340,L-3901254,00.html
YumYum;;https://www.ajinomoto.com/cms_wp_ajnmt_global/wp-content/uploads/brands/png/img_brand_YumYum.png;[];Ajinomoto Group;global;alternative;"Owned by **Ajinomoto Group**.

**Ajinomoto Co.**, announced a partnership with Tel Aviv, Israel-based SuperMeat, a developer of poultry meat produced from animal cells.";https://www.meatpoultry.com/articles/26314-ajinomoto-enters-joint-venture-with-cell-based-meat-company
Zenith;;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Zenith_logo.svg/2560px-Zenith_logo.svg.png;[];Zenith;global;alternative;"**Zenith** is owned by **LVMH**.

Bernard Arnault, the chairman and **CEO** of **LMVH** Moet Hennessy-Louis Vuitton, and the world’s richest man according to Forbes, has **invested** in cybersecurity firm, **Wiz**, the **Israeli** maker of cloud security solutions for enterprises.";https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/
Zevo;;https://logowik.com/content/uploads/images/zevo1964.jpg;[];Procter and Gamble;global;alternative;"Owned by **Procter and Gamble**.

**Procter and Gamble** opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.";https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5
Zwitsal;;https://cdn.sanity.io/images/92ui5egz/production/18470457585f2a0423231ade79bb21745d0c0608-1080x1080.jpg?w=600&h=600&fit=crop&auto=format;[];Unilever;global;alternative;"Owned by **Unilever**.

**Zwitsal** and Ben & Jerry's are owned by **Unilever**. When Ben & Jerry's decided to stop selling its products in Israel, **Unilever** sold off the Israeli distribution rights to Avi Zinger to circumvent their decision and to force Ben & Jerry's brand name to continue selling in Israel.";https://www.unilever.com/news/press-and-media/press-releases/2022/unilever-reaches-new-business-arrangement-for-ben-jerrys-in-israel/
ZzzQuil;;https://seeklogo.com/images/Z/zzzquil-logo-D0BD9E95A7-seeklogo.com.png;[];Procter and Gamble;global;alternative;"Owned by **Procter and Gamble**.

**Procter and Gamble** opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.";https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5
Seeds of Change;;https://www.seedsofchange.com/sites/g/files/fnmzdf1856/files/SOC-logo-500w.png;[];Mars Inc;global;alternative;"Owned by **Mars Inc**.

**Mars** will support Israeli start-ups and the formation of companies, and will work together with leading Israeli academic institutions, such as the Hebrew University, the Weizmann Institute, the Technion, Migall and Tel Hai College, among others, to further Foodtech innovations.";https://www.foodmanufacturing.com/home/news/13251464/mars-incorporated-partners-with-jerusalem-venture-partners-to-foster-foodtech-solutions-in-israel
Sephora;;https://1000logos.net/wp-content/uploads/2018/08/Sephora-Logo.png;[];Sephora;global;alternative;"**Sephora** is owned by **LVMH**.

Bernard Arnault, the chairman and **CEO** of **LMVH** Moet Hennessy-Louis Vuitton, and the world’s richest man according to Forbes, has **invested** in cybersecurity firm, **Wiz**, the **Israeli** maker of cloud security solutions for enterprises.";https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/
Sheba;;https://assets.stickpng.com/images/6027eb75ed4efb000419981b.png;[];Mars Inc;global;alternative;"Owned by **Mars Inc**.

**Mars** will support Israeli start-ups and the formation of companies, and will work together with leading Israeli academic institutions, such as the Hebrew University, the Weizmann Institute, the Technion, Migall and Tel Hai College, among others, to further Foodtech innovations.";https://www.foodmanufacturing.com/home/news/13251464/mars-incorporated-partners-with-jerusalem-venture-partners-to-foster-foodtech-solutions-in-israel
Showtime Networks Inc.;;;[];Paramount Global;global;alternative;"Owned by **Paramount Global**.

**Paramount Global** stated, 'We stand with the people of Israel and the global Jewish community.""";https://variety.com/2023/film/news/hollywood-studios-israel-palestine-hamas-attacks-1235753540/
Shu Uemura;;;[];Shu Uemura;global;alternative;"**Shu Uemura** is owned by **L'Oreal.**

**34.70%** of L’Oreal is owned by Mrs. Francoise Bettencourt Meyers and her family. **20.1%** of L’ Oreal is owned by **Nestle**. Nestle began **investing** in **Israel** in 1995 by buying 10% of Israeli food maker **Osem** Investments, increasing its ownership to 50.1% two years later giving it the controlling share and now owns a 53.8 percent stake in Osem Swiss food giant Nestle will set up a global research and development center for snack foods next year in Sderot, a town in Israel's Negev desert, the Maariv.";https://www.loreal-finance.com/eng/share-ownership
Sierra Mist;;https://upload.wikimedia.org/wikipedia/commons/7/7a/Sierra_Mist_2018_Logo.svg;[];PepsiCo;global;alternative;"Owned by **PepsiCo**.

**PepsiCo** bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.";https://www.bloomberg.com/view/articles/2018-08-22/pepsico-s-sodastream-purchase-is-sweet-news-for-israelis?leadSource=uverify%20wall#xj4y7vzkg
Signal;;https://logowik.com/content/uploads/images/signal-plus.jpg;[];Unilever;global;alternative;"Owned by **Unilever**.

**Signal** and Ben & Jerry's are owned by **Unilever**. When Ben & Jerry's decided to stop selling its products in Israel, **Unilever** sold off the Israeli distribution rights to Avi Zinger to circumvent their decision and to force Ben & Jerry's brand name to continue selling in Israel.";https://www.unilever.com/news/press-and-media/press-releases/2022/unilever-reaches-new-business-arrangement-for-ben-jerrys-in-israel/
Silan;;https://www.henkel.be/resource/image/27920/1x1/1000/1000/dc8bf71e80d99921312b66f81675ba81/EAFF78A4316702A3E67FB47A944A5560/silan-logo.webp;[];Henkel;global;alternative;"Owned by **Henkel**.

**Henkel** invests in Israeli technology namely by investing in Feelit. A company with its roots in Israël.";https://www.henkel.com/press-and-media/press-releases-and-kits/2021-01-07-henkel-invests-in-technology-start-up-feelit-1141594
Simply;;https://www.drinksimplybeverages.com/content/dam/nagbrands/us/simply/en/home/2022/simply-logo-transparent.png;[];The Coca-Cola Company;global;alternative;"Owned by **The Coca-Cola Company**.

**Coca-Cola Israel** owns dairy farms in the illegal Israeli settlements of Shadmot Mechola in the Jordan Valley and a plant in the industrial zone of Katzerin in the occupied Golan Heights.";http://www.inminds.com/boycott-coca-cola.html
Sirma;;https://logowik.com/content/uploads/images/718_sirma_logo.jpg;[];Danone;global;alternative;"Owned by **Danone**.

**Danone** leads an investment of about NIS 12.5 million in Israel's Wilk, alongside Israeli milk firm Tara.";https://www.jpost.com/business-and-innovation/banking-and-finance/article-743853
Skii;;https://cdn.freebiesupply.com/logos/large/2x/sk-ii-logo-png-transparent.png;[];Procter and Gamble;global;alternative;"Owned by **Procter and Gamble**.

**Procter and Gamble** opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.";https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5
SkinBetter Science;;https://delawarevalleyplasticsurgery.com/wp-content/uploads/2020/06/skinbetter-logo.png;[];L'Oreal;global;alternative;"Owned by **L'Oreal**. 

34.70% of **L’Oreal** is owned by Mrs. Francoise Bettencourt Meyers and her family. **L’Oreal** is owned by **Nestle**. **Nestle** began investing in Israel in 1995 by buying 10% of Israeli food maker Osem Investments, increasing its ownership to 50.1% two years later giving it the controlling share and now owns a 53.8 percent stake in Osem Swiss food giant **Nestle** will set up a global research and development center for snack foods next year in Sderot, a town in Israel's Negev desert, the Maariv.";https://www.loreal-finance.com/eng/share-ownership
SkinCeuticals;;https://skintelligencepartners.com/wp-content/uploads/2018/09/SkinCeuticals-Logo-Cosmedic-Online-e1586272527991.png;[];L'Oreal;global;alternative;"Owned by **L'Oreal**. 

34.70% of **L’Oreal** is owned by Mrs. Francoise Bettencourt Meyers and her family. 20.1% of **L’Oreal** is owned by **Nestle**. **Nestle** began investing in Israel in 1995 by buying 10% of Israeli food maker Osem Investments, increasing its ownership to 50.1% two years later giving it the controlling share and now owns a 53.8 percent stake in Osem Swiss food giant **Nestle** will set up a global research and development center for snack foods next year in Sderot, a town in Israel's Negev desert, the Maariv.";https://www.loreal-finance.com/eng/share-ownership
Skittles;;https://1000logos.net/wp-content/uploads/2017/10/skittles-logo-color.jpg;[];Mars Inc;global;alternative;"Owned by **Mars Inc**.

**Mars** will support Israeli start-ups and the formation of companies, and will work together with leading Israeli academic institutions, such as the Hebrew University, the Weizmann Institute, the Technion, Migall and Tel Hai College, among others, to further Foodtech innovations.";https://www.foodmanufacturing.com/home/news/13251464/mars-incorporated-partners-with-jerusalem-venture-partners-to-foster-foodtech-solutions-in-israel
Smartfood;;https://upload.wikimedia.org/wikipedia/en/2/27/Smartfoodpopcorn.png;[];PepsiCo;global;alternative;"Owned by **PepsiCo**.

**PepsiCo** bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.";https://www.bloomberg.com/view/articles/2018-08-22/pepsico-s-sodastream-purchase-is-sweet-news-for-israelis?leadSource=uverify%20wall#xj4y7vzkg
Smarties;;https://www.nestle.com/sites/default/files/styles/thumbnail/public/smarties-logo-round-2022.png?itok=R1mC_Uc1;[];Nestlé;global;alternative;"Owned by **Nestlé**.

**Nestlé** is 100% owned by swiss. **Nestlé** began investing in Israel in 1995 by buying 10% of Israeli food maker Osem Investments, increasing its ownership to 50.1% two years later giving it the controlling share and now owns a 53.8 percent stake in Osem Swiss food giant **Nestlé** will set up a global research and development centre for snack foods in Sderot, a town in Israel's Negev desert, the Maariv newspaper reported on Sunday. ";https://www.just-food.com/news/israel-nestle-to-up-stake-in-osem/?cf-view
Smartwater;;https://www.coca-colahellenic.com/content/dam/cch/us/images/our-24-7-portfolio/brand-image/glaceau-smartwater-logo-300x300.png;[];The Coca-Cola Company;global;alternative;"Owned by **The Coca-Cola Company**.

**Coca-Cola Israel** owns dairy farms in the illegal Israeli settlements of Shadmot Mechola in the Jordan Valley and a plant in the industrial zone of Katzerin in the occupied Golan Heights.";http://www.inminds.com/boycott-coca-cola.html
smashbox;;;[];Estée Lauder;global;alternative;"Smashbox is owned by **Estée Lauder**.

**Ronald Lauder**, who together with his brother Leonard Lauder inherited the Estee Lauder company, is the president of the **World Jewish Congress**, and chairman of the Jewish National Fund, and is a **zionist** with extremist views and financially and politically supports **Israeli** occupation of Palestinian land.";https://www.jnf.org/menu-3/speakers-bureau/bio-page?id=830973c9-caae-67a8-a4cf-ff000038378d
Smithsonian Channel™;;;[];Paramount Global;global;alternative;"Owned by **Paramount Global**.

**Paramount Global** stated, 'We stand with the people of Israel and the global Jewish community.""";https://variety.com/2023/film/news/hollywood-studios-israel-palestine-hamas-attacks-1235753540/
Snack a Jacks;;https://www.snackajacks.nl/prod/s3fs-public/off_pack_purple_background_0.png;[];PepsiCo;global;alternative;"Owned by **PepsiCo**.

**PepsiCo** bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.";https://www.bloomberg.com/view/articles/2018-08-22/pepsico-s-sodastream-purchase-is-sweet-news-for-israelis?leadSource=uverify%20wall#xj4y7vzkg
Sobe;;https://cdn.worldvectorlogo.com/logos/sobe.svg;[];PepsiCo;global;alternative;"Owned by **PepsiCo**.

**PepsiCo** bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.";https://www.bloomberg.com/view/articles/2018-08-22/pepsico-s-sodastream-purchase-is-sweet-news-for-israelis?leadSource=uverify%20wall#xj4y7vzkg
SodaStream;;https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Soda_Stream_Logo.svg/2560px-Soda_Stream_Logo.svg.png;[];PepsiCo;global;alternative;"Owned by **PepsiCo**.

**PepsiCo** bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.";https://www.bloomberg.com/view/articles/2018-08-22/pepsico-s-sodastream-purchase-is-sweet-news-for-israelis?leadSource=uverify%20wall#xj4y7vzkg
Soulboost;;https://mma.prnewswire.com/media/1810307/soulboost_horizontal_Logo.jpg?p=twitter;[];PepsiCo;global;alternative;"Owned by **PepsiCo**.

**PepsiCo** bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.";https://www.bloomberg.com/view/articles/2018-08-22/pepsico-s-sodastream-purchase-is-sweet-news-for-israelis?leadSource=uverify%20wall#xj4y7vzkg
Sour Patch Kids;;https://i.pinimg.com/originals/c5/ed/93/c5ed936031d0577e7e565902b841da68.png;[];Mondelez International, Inc.;global;alternative;"Owned by **Mondelez International, Inc.**

**Mondelez International Inc.** on Nov. 10(2020) announced a seed investment in Torr FoodTech, an early stage company based in Israel that has developed proprietary technology Mondelez said “brings real, simple ingredients together to offer multi-textural, sensorial experiences.""";https://www.foodbusinessnews.net/articles/17261-mondelez-invests-in-israel-food-tech-startup
Stacy's;;https://m.media-amazon.com/images/S/abs-image-upload-na/f/AmazonStores/ATVPDKIKX0DER/97b94b04168436ab9a804d6070f99795.w3000.h3000.jpg;[];PepsiCo;global;alternative;"Owned by **PepsiCo**.

**PepsiCo** bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.";https://www.bloomberg.com/view/articles/2018-08-22/pepsico-s-sodastream-purchase-is-sweet-news-for-israelis?leadSource=uverify%20wall#xj4y7vzkg
Standard Life;;https://www.lincs-chamber.co.uk/wp-content/uploads/2018/02/Standard-Life-Assurance-logo.png;[];;global;alternative;**Standard Life** invests in companies selling arms and military equipment to Israel that have been used in the oppression of Palestinians;https://www.ethicalconsumer.org/money-finance/israel-deadly-investments
Starboard Cruise Services;;https://www.bwconfidential.com/wp-content/uploads/2023/03/logo_starboard_final.png;[];Starboard Cruise Services;global;alternative;"**Starboard Cruise Services** is owned by **LVMH**.

Bernard Arnault, the chairman and **CEO** of **LMVH** Moet Hennessy-Louis Vuitton, and the world’s richest man according to Forbes, has **invested** in cybersecurity firm, **Wiz**, the **Israeli** maker of cloud security solutions for enterprises.";https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/
Starry;;https://mma.prnewswire.com/media/1981197/STARRY_Lemon_Lime__Logo.jpg?p=twitter;[];PepsiCo;global;alternative;"Owned by **PepsiCo**.

**PepsiCo** bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine."; https://www.bloomberg.com/view/articles/2018-08-22/pepsico-s-sodastream-purchase-is-sweet-news-for-israelis?leadSource=uverify%20wall#xj4y7vzkg
Stella McCartney;;https://cdn.cookielaw.org/logos/db3cf2f9-09f6-47ab-b58f-c5e38cd9dd46/6a6a57b4-fe7b-44c6-afe5-6fc7ba649017/f2ad86fb-014b-47ef-ae6d-e1121cb87910/STELLA-Logo_updated_SMC_GREEN.png;[];Stella McCartney;global;alternative;"**Stella McCartney** is owned by **LVMH**.

Bernard Arnault, the chairman and **CEO** of **LMVH** Moet Hennessy-Louis Vuitton, and the world’s richest man according to Forbes, has **invested** in cybersecurity firm, **Wiz**, the **Israeli** maker of cloud security solutions for enterprises.";https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/
STMNT STATEMENT GROOMING GOODS;;;[];Henkel;global;alternative;"Owned by **Henkel**.

**Henkel** invests in Israeli technology namely by investing in Feelit. A company with its roots in Israël.";https://www.henkel.com/press-and-media/press-releases-and-kits/2021-01-07-henkel-invests-in-technology-start-up-feelit-1141594
Strepsils;;;[];Reckitt Benckiser;global;alternative;"Owned by **Reckitt Benckiser**

**Reckitt Benckiser** signs a cooperation agreement with the Israel Innovation Authority.";https://en.globes.co.il/en/article-reckitt-benckiser-seeks-investments-in-israeli-cos-1001262747
Stride;;;[];Mondelez International, Inc.;global;alternative;"Owned by **Mondelez International, Inc.**

**Mondelez International Inc.** on Nov. 10(2020) announced a seed investment in Torr FoodTech, an early stage company based in Israel that has developed proprietary technology Mondelez said “brings real, simple ingredients together to offer multi-textural, sensorial experiences.""";https://www.foodbusinessnews.net/articles/17261-mondelez-invests-in-israel-food-tech-startup
StyleNanda;;https://tukuz.com/wp-content/uploads/2020/05/3ce-stylenanda-logo-vector.png;[];StyleNanda;global;alternative;"**StyleNanda** is owned By **L' Oreal**.

**34.70%** of L’Oreal is owned by Mrs. Francoise **Bettencourt** Meyers and her family. **20.1%** of L’ Oreal is owned by **Nestle**. Nestle began investing in Israel in 1995 by buying 10% of Israeli food maker **Osem** Investments, increasing its ownership to 50.1% two years later giving it the controlling share and now owns a **53.8 percent stake** in Osem Swiss food giant Nestle will set up a global research and development center for snack foods next year in Sderot, a town in Israel's Negev desert, the Maariv.";https://www.loreal-finance.com/eng/share-ownership
SunChips;;https://getvectorlogo.com/wp-content/uploads/2020/04/sunchips-vector-logo.png;[];PepsiCo;global;alternative;"Owned by **PepsiCo**.

**PepsiCo** bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.";https://www.bloomberg.com/view/articles/2018-08-22/pepsico-s-sodastream-purchase-is-sweet-news-for-israelis?leadSource=uverify%20wall#xj4y7vzkg
Sunlight;;https://www.careline.be/sk-eu/content/dam/brands/sunlight/indonesia/1928579-sunlight-logo.jpg.rendition.1960.1960.jpg;[];Unilever;global;alternative;"Owned by **Unilever**.

**Sunlight** and Ben & Jerry's are owned by **Unilever**. When Ben & Jerry's decided to stop selling its products in Israel, **Unilever** sold off the Israeli distribution rights to Avi Zinger to circumvent their decision and to force Ben & Jerry's brand name to continue selling in Israel.";https://www.unilever.com/news/press-and-media/press-releases/2022/unilever-reaches-new-business-arrangement-for-ben-jerrys-in-israel/
Sunsilk;;https://upload.wikimedia.org/wikipedia/commons/7/7e/Sunsilk_%282022%29.png;[];Unilever;global;alternative;"Owned by **Unilever**.

**Sunsilk** and Ben & Jerry's are owned by **Unilever**. When Ben & Jerry's decided to stop selling its products in Israel, **Unilever** sold off the Israeli distribution rights to Avi Zinger to circumvent their decision and to force Ben & Jerry's brand name to continue selling in Israel.";https://www.unilever.com/news/press-and-media/press-releases/2022/unilever-reaches-new-business-arrangement-for-ben-jerrys-in-israel/
Supradyn ;;https://static.wikia.nocookie.net/logopedia/images/3/30/Supradyn_logo.gif/revision/latest/scale-to-width-down/200?cb=20151004164527;[];Bayer;global;alternative;"Owned by **Bayer**.

There is a partnership between **Bayer** and the Israeli Innovation Authority. The Israel Innovation Authority (IIA) is the support arm of the Israeli government, charged with fostering the development of industrial research and development in the State of Israel.";https://www.bayer.com/en/il/climate-tech-program
Suzi Wan;;https://www.quellesauce.com/wp-content/uploads/2020/10/brand-suziwan-324x324.png;[];Mars Inc;global;alternative;"Owned by **Mars Inc**.

**Mars** will support Israeli start-ups and the formation of companies, and will work together with leading Israeli academic institutions, such as the Hebrew University, the Weizmann Institute, the Technion, Migall and Tel Hai College, among others, to further Foodtech innovations.";https://www.foodmanufacturing.com/home/news/13251464/mars-incorporated-partners-with-jerusalem-venture-partners-to-foster-foodtech-solutions-in-israel
Sweet Earth;;https://goodnes.com/sites/g/files/jgfbjl131/files/gdn_brand/Logo_Light_0.svg;[];Nestlé;global;alternative;"Owned by **Nestlé**.

**Nestlé** is 100% owned by swiss. **Nestlé** began investing in Israel in 1995 by buying 10% of Israeli food maker Osem Investments, increasing its ownership to 50.1% two years later giving it the controlling share and now owns a 53.8 percent stake in Osem Swiss food giant **Nestlé** will set up a global research and development centre for snack foods in Sderot, a town in Israel's Negev desert, the Maariv newspaper reported on Sunday. ";https://www.just-food.com/news/israel-nestle-to-up-stake-in-osem/?cf-view
Swiffer;;https://upload.wikimedia.org/wikipedia/en/e/ef/Swiffer_logo.svg;[];Procter and Gamble;global;alternative;"Owned by **Procter and Gamble**.

**Procter and Gamble** opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.";https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5
Swoodoo;;https://upload.wikimedia.org/wikipedia/commons/f/f3/Swoodoo-logo.png;[];Kayak;global;alternative;"Owned By **Kayak**, which is a sister company of **Booking.com**.

**Booking.com** allows listings in occupied Palestinian territory, and after announcing it will remove 200 of such listings, it reversed its decision, showing it is knowingly complicit in Israels occupation.";https://www.aljazeera.com/news/2022/10/5/is-booking-com-reversal-palestine-corporate-hypocrisy
Syoss;;https://www.henkel.be/resource/image/35476/1x1/1000/1000/6095ce588d11650ef84c212a64e7566f/51ED2150AC7FB0DE697FF2F1C733F682/syoss-logo.webp;[];Henkel;global;alternative;"Owned by **Henkel**.

**Henkel** invests in Israeli technology namely by investing in Feelit. A company with its roots in Israël.";https://www.henkel.com/press-and-media/press-releases-and-kits/2021-01-07-henkel-invests-in-technology-start-up-feelit-1141594
Taboola;;https://www.proggio.com/wp-content/uploads/2019/01/feat-Taboola.png;[];;global;alternative;**Taboola**'s CEO, Adam Singolda, is a staunch zionist who tweets about Palestine supports being ISIS and terrorist sympathisers.;https://twitter.com/AdamSingolda
