name;website;categories;parent name;parent location;parent level;reason;source_url
Pepsi;;[];PepsiCo;global;direct;"Owned by **PepsiCo**.

**PepsiCo** bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.";https://www.bloomberg.com/view/articles/2018-08-22/pepsico-s-sodastream-purchase-is-sweet-news-for-israelis?leadSource=uverify%20wall#xj4y7vzkg
Pizza Hut;;[];Yum! Brands;global;direct;"Owned by **Yum! Brands**.

**Yum! Brands** is an investor in Israeli start ups.";https://www.calcalistech.com/ctech/articles/0,7340,L-3901254,00.html
Popeyes;;[];;global;direct;"Sister company of **Burger King**.

**Burger King** Israel supports IDF by providing free food and drinks to Israeli militants.";https://www.instagram.com/p/CyORRWHIqeH/?img_index=1
Puma;;[];;global;direct;Puma sponsors the Israel Football Association, which includes teams in Israel’s illegal settlements on occupied Palestinian land. This sponsership will end in 2024;https://bdsmovement.net/boycott-puma
Siemens;;[];;global;direct;**Siemens**, with a notable presence in Israel, engages in various sectors such as technology, engineering, and energy. The company recently withdrew from the Web Summit, Europe's biggest technology conference, following critical remarks by the event's leader about Western support for Israel. This move underscores **Siemens**' commitment to its operations and interests in Israel.;https://fortune.com/2023/10/19/intel-siemens-web-summit-withdrew-israel-hamas-attack/
Snickers;;[];Mars Inc;global;direct;"Owned by **Mars Inc**.

**Mars** will support Israeli start-ups and the formation of companies, and will work together with leading Israeli academic institutions, such as the Hebrew University, the Weizmann Institute, the Technion, Migall and Tel Hai College, among others, to further Foodtech innovations.";https://www.chicagojewishnews.com/is-the-mars-family-jewish/
Sprite;;[];The Coca-Cola Company;global;direct;"Owned by **The Coca-Cola Company**.

**Coca-Cola Israel** owns dairy farms in the illegal Israeli settlements of Shadmot Mechola in the Jordan Valley and a plant in the industrial zone of Katzerin in the occupied Golan Heights.";http://www.inminds.com/boycott-coca-cola.html
Starbucks;;[];;global;direct;Howard Shultz is the largest private owner of **Starbucks** shares and is a staunch zionist who invests heavily in Israel's economy including a recent $1.7 Billion investment in cybersecurity startup Wiz.;https://fortune.com/2021/04/07/wiz-howard-schultz-investment-fundraising-cybersecurity-startups-starbucks-ceo/
Taco Bell;;[];Yum! Brands;global;direct;"Owned by **Yum! Brands**.

**Yum! Brands** is an investor in Israeli start ups.";https://www.calcalistech.com/ctech/articles/0,7340,L-3901254,00.html
Walmart;;[];;global;direct;**Walmart Foundation**, the philanthropy arm of the U.S. retailer, has pledged **$1 million** to an Israeli disaster relief and emergency medical service organization.;https://www.reuters.com/world/walmart-pledges-1-million-aid-israel-victims-2023-11-01/
Walt Disney;;[];;global;direct;**The Walt Disney Company** Donates To Support Humanitarian Relief Following Terrorist Attacks In Israel.;https://thewaltdisneycompany.com/the-walt-disney-company-donates-to-support-humanitarian-relief-following-terrorist-attacks-in-israel-2/
Waze;;[];;global;direct;Founder, Uri Levine, is a staunch zionist who is also ex-IDF (also founded moovit).;https://twitter.com/UriLevine1
Zara;;[];;global;direct;Joey Schwebel, chairman of **Israel's Zara franchise**, hosted **anti-Palestinian** MK Itamar **Ben Gvir**(Palestinian-hating politician) for a campaign event a week prior to upcoming elections.;https://web.archive.org/web/20231125112450/https://new.thecradle.co/articles/palestinians-boycott-zara-for-hosting-israeli-extremist
24S;;[];24S;global;direct;"**24S** is owned by **LVMH**.

Bernard Arnault, the chairman and **CEO** of **LMVH** Moet Hennessy-Louis Vuitton, and the world’s richest man according to Forbes, has **invested** in cybersecurity firm, **Wiz**, the **Israeli** maker of cloud security solutions for enterprises.";https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/
3Musketeers;;[];Mars Inc;global;direct;"Owned by **Mars Inc**.

**Mars** will support Israeli start-ups and the formation of companies, and will work together with leading Israeli academic institutions, such as the Hebrew University, the Weizmann Institute, the Technion, Migall and Tel Hai College, among others, to further Foodtech innovations.";https://www.foodmanufacturing.com/home/news/13251464/mars-incorporated-partners-with-jerusalem-venture-partners-to-foster-foodtech-solutions-in-israel
5 Gum;;[];Mars Inc;global;direct;"Owned by **Mars Inc**.

**Mars** will support Israeli start-ups and the formation of companies, and will work together with leading Israeli academic institutions, such as the Hebrew University, the Weizmann Institute, the Technion, Migall and Tel Hai College, among others, to further Foodtech innovations.";https://www.foodmanufacturing.com/home/news/13251464/mars-incorporated-partners-with-jerusalem-venture-partners-to-foster-foodtech-solutions-in-israel
5 Star;;[];Mondelez International, Inc.;global;direct;"Owned by **Mondelez International, Inc.**

**Mondelez International Inc.** on Nov. 10(2020) announced a seed investment in Torr FoodTech, an early stage company based in Israel that has developed proprietary technology Mondelez said “brings real, simple ingredients together to offer multi-textural, sensorial experiences.""";https://www.foodbusinessnews.net/articles/17261-mondelez-invests-in-israel-food-tech-startup
7Days;;[];Mondelez International, Inc.;global;direct;"Owned by **Mondelez International, Inc.**

**Mondelez International Inc.** on Nov. 10(2020) announced a seed investment in Torr FoodTech, an early stage company based in Israel that has developed proprietary technology Mondelez said “brings real, simple ingredients together to offer multi-textural, sensorial experiences.""";https://www.foodbusinessnews.net/articles/17261-mondelez-invests-in-israel-food-tech-startup
7up;;[];PepsiCo;global;direct;"Owned by **PepsiCo**.

**PepsiCo** bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.";https://www.bloomberg.com/view/articles/2018-08-22/pepsico-s-sodastream-purchase-is-sweet-news-for-israelis?leadSource=uverify%20wall#xj4y7vzkg
Abu Siouf;;[];Mars Inc;global;direct;"Owned by **Mars Inc**.

**Mars** will support Israeli start-ups and the formation of companies, and will work together with leading Israeli academic institutions, such as the Hebrew University, the Weizmann Institute, the Technion, Migall and Tel Hai College, among others, to further Foodtech innovations.";https://www.foodmanufacturing.com/home/news/13251464/mars-incorporated-partners-with-jerusalem-venture-partners-to-foster-foodtech-solutions-in-israel
ABZ Pharma;;[];Owned by ;global;direct;"**Owned by **Teva**, an American-Israeli Pharmaceutical Company**

**Teva** Pharmaceutical Industries Ltd is an American-**Israeli** pharmaceutical company and has become one of the biggest pharmaceutical companies in the world. Teva **stands** with **Israel** and provides all kind of **medical**, **pharmaceutical** and **humanitarian** aid to the zionist.

Note:

Hospitals in Gaza are facing a shortage of medical supplies. Humanitarian aid is based on the principles of humanity, impartiality, neutrality, and independence. The principle of humanity entails taking initiatives to alleviate human suffering, regardless of where it occurs, with particular attention to the most vulnerable. The dignity of all victims must be respected and protected. The principle of impartiality means that humanitarian aid can only be provided based on need, without discrimination between or within affected ethnic groups.

";https://www.tevapharm.com/news-and-media/latest-news/standing-with-israel-teva-statement-regarding-the-attacks-on-israeli-civilians/
Acana;;[];Mars Inc;global;direct;"Owned by **Mars Inc**.

**Mars** will support Israeli start-ups and the formation of companies, and will work together with leading Israeli academic institutions, such as the Hebrew University, the Weizmann Institute, the Technion, Migall and Tel Hai College, among others, to further Foodtech innovations.";https://www.foodmanufacturing.com/home/news/13251464/mars-incorporated-partners-with-jerusalem-venture-partners-to-foster-foodtech-solutions-in-israel
Acqua Di Parma;;[];Acqua Di Parma;global;direct;"**Acqua Di Parma** is owned by **LVMH**.

Bernard Arnault, the chairman and **CEO** of **LMVH** Moet Hennessy-Louis Vuitton, and the world’s richest man according to Forbes, has **invested** in cybersecurity firm, **Wiz**, the **Israeli** maker of cloud security solutions for enterprises.";https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/
Acqua Panna;;[];Nestlé;global;direct;"Owned by **Nestlé**.

**Nestlé** is 100% owned by swiss. **Nestlé** began investing in Israel in 1995 by buying 10% of Israeli food maker Osem Investments, increasing its ownership to 50.1% two years later giving it the controlling share and now owns a 53.8 percent stake in Osem Swiss food giant **Nestlé** will set up a global research and development centre for snack foods in Sderot, a town in Israel's Negev desert, the Maariv newspaper reported on Sunday. ";https://www.just-food.com/news/israel-nestle-to-up-stake-in-osem/?cf-view
Actimel;;[];Danone;global;direct;"Owned by **Danone**.

**Danone** leads an investment of about NIS 12.5 million in Israel's Wilk, alongside Israeli milk firm Tara.";https://www.jpost.com/business-and-innovation/banking-and-finance/article-743853
Activia;;[];Danone;global;direct;"Owned by **Danone**.

**Danone** leads an investment of about NIS 12.5 million in Israel's Wilk, alongside Israeli milk firm Tara.";https://www.jpost.com/business-and-innovation/banking-and-finance/article-743853
AdeS;;[];The Coca-Cola Company;global;direct;"Owned by **The Coca-Cola Company**.

**Coca-Cola Israel** owns dairy farms in the illegal Israeli settlements of Shadmot Mechola in the Jordan Valley and a plant in the industrial zone of Katzerin in the occupied Golan Heights.";http://www.inminds.com/boycott-coca-cola.html
AERIN ;;[];Estée Lauder;global;direct;"AERIN is owned by **Estée Lauder**.

**Ronald Lauder**, who together with his brother Leonard Lauder inherited the Estee Lauder company, is the president of the **World Jewish Congress**, and chairman of the Jewish National Fund, and is a **zionist** with extremist views and financially and politically supports **Israeli** occupation of Palestinian land.";https://www.jnf.org/menu-3/speakers-bureau/bio-page?id=830973c9-caae-67a8-a4cf-ff000038378d
Aesop;;[];Aesop;global;direct;"**Aesop** is owned by **L'Oreal.**

**34.70%** of L’Oreal is owned by Mrs. Francoise Bettencourt Meyers and her family. **20.1%** of L’ Oreal is owned by **Nestle**. Nestle began **investing** in **Israel** in 1995 by buying 10% of Israeli food maker **Osem** Investments, increasing its ownership to 50.1% two years later giving it the controlling share and now owns a 53.8 percent stake in Osem Swiss food giant Nestle will set up a global research and development center for snack foods next year in Sderot, a town in Israel's Negev desert, the Maariv.";https://www.loreal-finance.com/eng/share-ownership
Afrin;;[];Bayer;global;direct;"Owned by **Bayer**.

There is a partnership between **Bayer** and the Israeli Innovation Authority. The Israel Innovation Authority (IIA) is the support arm of the Israeli government, charged with fostering the development of industrial research and development in the State of Israel.";https://www.bayer.com/en/il/climate-tech-program
Agoda;;[];;global;direct;"Sister company of **Booking.com**.

**Booking.com** allows listings in occupied Palestinian territory, and after announcing it will remove 200 of such listings, it reversed its decision, showing it is knowingly complicit in Israels occupation.";https://www.aljazeera.com/news/2022/10/5/is-booking-com-reversal-palestine-corporate-hypocrisy
Airbnb;;[];;global;direct;**Airbnb** allows listings in occupied Palestinian territory, and after announcing it will remove 200 of such listings, it reversed its decision, showing it is knowingly complicit in Israels occupation.;https://www.amnesty.org/en/latest/press-release/2020/12/airbnb-listing-company-is-deeply-compromised-by-israeli-settlement-properties/
Airwick;;[];Reckitt Benckiser;global;direct;"Owned by **Reckitt Benckiser**

**Reckitt Benckiser** signs a cooperation agreement with the Israel Innovation Authority.";https://en.globes.co.il/en/article-reckitt-benckiser-seeks-investments-in-israeli-cos-1001262747
